Year,Event Name,Continent
1959,Dalai Lama flees to India (mass movement),Asia
1960,Japan's Anpo protests (Security Treaty),Asia
1961,"Goa: Indian annexation, rallies",Asia
1962,Sino-Indian War: mass mobilization,Asia
1963,South Vietnam Buddhist crisis,Asia
1964,Indonesia mass killings/communist purge,Asia
1965,"Suharto coup, anti-communist purges",Asia
1945,WWII ends: mass displacement/refugees,Europe
1946,Churchill's “Iron Curtain” speech—Cold War begins,Europe
1947,Marshall Plan launches—recovery mobilization,Europe
1948,"Communist coup, Czechoslovakia",Europe
1949,NATO founded,Europe
1950,Schuman Declaration initiates EU,Europe
1951,Berlin demonstrations,Europe
1952,UK: Mau Mau sympathy protests,Europe
1953,East German uprising,Europe
1954,Algerian War protests (France),Europe
1955,"Austria regains sovereignty, mass celebration",Europe
1956,Hungarian Revolution,Europe
1957,Treaty of Rome signed (EEC forms),Europe
1958,French Algerian crisis protests,Europe
1959,UK anti-nuclear marches,Europe
1960,Congo crisis protests in Europe,Europe
1961,"Berlin Wall construction, reactions",Europe
1962,Cuban Missile Crisis European mobilizations,Europe
1963,Profumo affair: mass media frenzy (UK),Europe
1964,Vatican II: major Christian mobilizations,Europe
1965,French student demonstrations,Europe
1945,V-E Day celebrations mass gatherings USA/Canada,North America
1946,Welcoming home war veterans,North America
1947,Jackie Robinson integration MLB,North America
1948,US Presidential election mobilizations Truman,North America
1949,Canada: Newfoundland joins Confederation,North America
1950,Korean War recruitment wave,North America
1951,US: nuclear test site protests,North America
1952,McCarthyism: Red Scare rallies,North America
1953,US: Korean War armistice celebrations,North America
1954,Brown v. Board of Education protest waves,North America
1955,Montgomery Bus Boycott (US),North America
1956,Elvis Presley “mania” concerts,North America
1957,Little Rock school integration crisis,North America
1958,Civil Rights Act protests,North America
1959,"Alaska, Hawaii join US—celebrations",North America
1960,US presidential election mass mobilization,North America
1961,Freedom Rides,North America
1962,Cuban Missile Crisis mobilizations,North America
1963,March on Washington for Jobs & Freedom,North America
1964,Civil Rights Act passage rallies,North America
1965,Voting Rights Act: Selma marches,North America
1945,Perón’s rise in Argentina: mass mobilization,South America
1946,Colombian La Violencia begins,South America
1947,Brazilian political reforms protests,South America
1948,"Bogotazo riots, Colombia",South America
1949,Chile copper mine strikes,South America
1950,Venezuela oil nationalization,South America
1951,Brazilian industrial strikes,South America
1952,Bolivian National Revolution,South America
1953,Uruguay: Batllismo movement,South America
1954,Peronist propaganda rallies,South America
1955,Argentina anti-Perón uprising,South America
1956,Mass land reforms Bolivia,South America
1957,Chile nationalization protests,South America
1958,Venezuela: fall of dictatorship,South America
1959,Cuban Revolution mass exodus,South America
1960,Brazil: new capital inauguration,South America
1961,Dominican Republic Trujillo assassination aftermath,South America
1962,Chile: farmers’ collective actions,South America
1963,Venezuela: urban guerrilla campaigns,South America
1964,"Brazil: military coup, street demonstrations",South America
1965,Argentina: anti-government marches,South America
1945,End of WWII: mass repatriations Australia/NZ,Australia/Oceania
1946,Aboriginal civil rights petitions,Australia/Oceania
1947,Pacific Islands “cargo cults”,Australia/Oceania
1948,Fiji: labor strike mass movement,Australia/Oceania
1949,New Zealand waterside workers’ strike,Australia/Oceania
1950,Australia: Colombo Plan student influx,Australia/Oceania
1951,ANZUS Treaty signed—public debates,Australia/Oceania
1952,Great Barrier Reef protection movement,Australia/Oceania
1953,PNG: Masina Rule proto-nationalist movement,Australia/Oceania
1954,Australia: citizenship for Indigenous Australians,Australia/Oceania
1955,Sydney Opera House campaign begins,Australia/Oceania
1956,Melbourne Olympic Games mass gatherings,Australia/Oceania
1957,Koori Aboriginal protest movement,Australia/Oceania
1958,Solomon Islands land reform protests,Australia/Oceania
1959,Australia: “Bring out a Briton” migration campaign,Australia/Oceania
1960,South Pacific nuclear fallout protests,Australia/Oceania
1961,“White Australia” immigration protests,Australia/Oceania
1962,Papua New Guinea: self-government movement,Australia/Oceania
1963,New Zealand: anti-nuclear movement,Australia/Oceania
1964,Sydney Aboriginal Day of Mourning,Australia/Oceania
1965,Australia: Vietnam War protest marches,Australia/Oceania
1965,Rhodesian Bush War begins,Africa
1966,Nigeria coup and Biafra crisis,Africa
1967,Biafran War—mass migration,Africa
1968,Uganda: mass purges Obote regime,Africa
1969,Congo: student protests,Africa
1970,Mass mobilization for independence (Mozambique),Africa
1971,Uganda: Idi Amin coup and mass killings,Africa
1972,Burundi genocide: refugee exodus,Africa
1973,Ethiopia: student mobilizations,Africa
1974,Ethiopian Revolution,Africa
1975,Angola & Mozambique independence movements,Africa
1976,Soweto Uprising (South Africa),Africa
1977,Black Consciousness Movement rallies (SA),Africa
1978,Zaire: Shaba Invasions,Africa
1979,Zimbabwe: Lancaster House talks,Africa
1980,Zimbabwe independence celebrations,Africa
1981,Moroccan Green March anniversary protests,Africa
1982,Egypt: Bread riots,Africa
1983,Ghana: famine-driven migration,Africa
1984,Burkina Faso: Sankara Revolution,Africa
1985,South Africa: anti-apartheid protests,Africa
1965,Indonesia anti-communist purges,Asia
1966,Chinese Cultural Revolution begins,Asia
1967,Hong Kong Riots,Asia
1968,Vietnam War—Tet Offensive mobilizations,Asia
1969,India-Pakistan war (mass mobilization),Asia
1970,"Bangladesh cyclone, mass refugee crisis",Asia
1971,Bangladesh independence movement,Asia
1972,Okinawa reversion protests (Japan),Asia
1973,Cambodia: Khmer Rouge insurgency -->,Asia
1974,Philippines: Martial Law protests,Asia
1975,Fall of Saigon: refugee waves,Asia
1976,China: Tiananmen Incident mourning,Asia
1977,India: Emergency ends—mass election,Asia
1978,South Korean democratization protests,Asia
1979,Iranian Revolution,Asia
1980,Gwangju Uprising (South Korea),Asia
1981,Iran-Iraq War mass mobilizations,Asia
1982,Philippine election protests,Asia
1983,Sri Lankan civil war mass movements,Asia
1984,Bhopal disaster: Indian protests,Asia
1985,China: university student demonstrations,Asia
1965,France: youth protests,Europe
1966,UK: cultural shifts “Swinging Sixties”,Europe
1967,Greek military coup protests,Europe
1968,May 1968 France mass protest,Europe
1969,Prague Spring after-effects in E. Europe,Europe
1970,Northern Ireland: Troubles begin,Europe
1971,Swiss women's suffrage movement,Europe
1972,"Bloody Sunday, N. Ireland",Europe
1973,UK: miners’ strikes,Europe
1974,Portugal Carnation Revolution,Europe
1975,Spanish transition: Franco’s death,Europe
1976,Italy Red Brigades demonstrations,Europe
1977,Germany Autumn leftist protests,Europe
1978,French nuclear power protests,Europe
1979,UK anti-Thatcher riots,Europe
1980,Poland: Solidarity movement,Europe
1981,Anti-nuclear demonstrations Germany,Europe
1982,Falklands War: British mobilization,Europe
1983,Greenham Common Women’s Peace Camp,Europe
1984,UK miners’ strike,Europe
1985,Chernobyl disaster: European response,Europe
1965,US Civil Rights marches (Selma),North America
1966,Black Panther Party formed,North America
1967,Detroit riots,North America
1968,MLK assassination: nationwide protests,North America
1969,Stonewall riots (NYC),North America
1970,Kent State shootings antiwar protest,North America
1971,Vietnam War protests peak,North America
1972,Watergate hearings—media focus,North America
1973,Roe v. Wade reactions,North America
1974,Nixon resignation public outpourings,North America
1975,Aboriginal rights movement Canada,North America
1976,Bicentennial mass celebrations (USA),North America
1977,NYC blackout social response,North America
1978,Jonestown mass suicide,North America
1979,Three Mile Island nuclear crisis,North America
1980,US election mass mobilizations (Reagan),North America
1981,AIDS awareness activism rises,North America
1982,Mexico debt crisis migrations,North America
1983,Nuclear freeze movement protests,North America
1984,LA Olympics mass gathering,North America
1985,Farm Aid concert—national movement,North America
1965,Chile student strikes,South America
1966,Argentine coup mass rallies,South America
1967,Peru: guerrilla uprisings,South America
1968,Uruguay: Tupamaro urban insurrection,South America
1969,"Cordobazo strikes, Argentina",South America
1970,Brazil dictatorship economic protests,South America
1971,Chile Allende social reforms,South America
1972,Uruguay: general strikes,South America
1973,Chilean coup d’état,South America
1974,Argentina mass worker strikes,South America
1975,Peruvian agrarian reform protests,South America
1976,Argentine military coup,South America
1977,Bolivia: mining strikes,South America
1978,Brazil: Diretas Já movement,South America
1979,Ecuador oil nationalization protests,South America
1980,Colombian narcoterrorism responses,South America
1981,Peruvian election demonstrations,South America
1982,Falklands War Latin America mobilization,South America
1983,Chile: march of a million,South America
1984,Brazil: Landless Workers Movement,South America
1985,Brazil: end of military rule mass mobilizations,South America
1965,Australian Freedom Ride,Australia/Oceania
1966,Papua New Guinea independence protests,Australia/Oceania
1967,Australian referendum on Aborigine rights,Australia/Oceania
1968,Fiji: independence movement escalates,Australia/Oceania
1969,Bougainville mining protests,Australia/Oceania
1970,Australia: Moratorium Vietnam rallies,Australia/Oceania
1971,"Nuclear testing protests, Pacific Islands",Australia/Oceania
1972,Aboriginal Tent Embassy (Australia),Australia/Oceania
1973,NZ anti-racist Springbok protests,Australia/Oceania
1974,Cyclone Tracy Darwin—mass displacement,Australia/Oceania
1975,Australian Dismissal crisis,Australia/Oceania
1976,PNG full independence celebrations,Australia/Oceania
1977,Sydney Mardi Gras emerges,Australia/Oceania
1978,NZ feminist protests,Australia/Oceania
1979,Australia: uranium mining protest,Australia/Oceania
1980,Fiji coup d’état mobilizations,Australia/Oceania
1981,Commonwealth Games anti-apartheid protests,Australia/Oceania
1982,Franklin Dam campaign (Aus),Australia/Oceania
1983,NZ No Nukes flotilla,Australia/Oceania
1984,Pitjantjatjara Land Rights movement (Australia),Australia/Oceania
1985,Uluru handed back to Aboriginal peoples,Australia/Oceania
1985,Ethiopia famine relief mobilization,Africa
1986,Soweto school protests,Africa
1987,Burkina Faso Revolution demonstrations,Africa
1988,Algerian October Riots,Africa
1989,Benin Conference for democratization,Africa
1990,South Africa: release of Nelson Mandela,Africa
1991,Somali Civil War mass exodus,Africa
1992,Angola election mass mobilization,Africa
1993,Rwanda: mass movements prior to genocide,Africa
1994,Rwandan Genocide mass displacement,Africa
1995,South Africa Truth and Reconciliation hearings,Africa
1996,Zaire: refugee crisis escalation,Africa
1997,Congo war mass movements,Africa
1998,Nigeria democracy protests (Abacha death),Africa
1999,Sierra Leone peace agreement mass celebrations,Africa
2000,Zimbabwe land reform protests,Africa
2001,HIV/AIDS awareness mobilization,Africa
2002,Ivory Coast civil war mass flows,Africa
2003,Liberian peace protests,Africa
2004,Sudan Darfur crisis mass displacement,Africa
2005,Ethiopia election unrest,Africa
1985,Japan: economic bubble collective investment,Asia
1986,People Power Revolution (Philippines),Asia
1987,South Korea democratization protests,Asia
1988,Burmese Uprising,Asia
1989,Tiananmen Square protests,Asia
1990,Indian Mandal Commission protests,Asia
1991,Soviet Asian Republics independence movements,Asia
1992,Thai protests “Black May”,Asia
1993,Chinese rural migration boom,Asia
1994,Indonesia East Timor resistance escalation,Asia
1995,Tokyo subway sarin attack—mass panic,Asia
1996,Kashmir protests India-Pakistan,Asia
1997,Hong Kong handover mass gatherings,Asia
1998,Indonesian economic crisis riots,Asia
1999,Kargil conflict mobilization (India-Pakistan),Asia
2000,South Korean mass candlelight rallies,Asia
2001,Afghanistan invasion—refugee crisis,Asia
2002,Gujarat riots India,Asia
2003,SARS panic and quarantines,Asia
2004,Boxing Day tsunami global mobilization,Asia
2005,Anti-Japan demonstrations in China,Asia
1985,Live Aid concert mass solidarity,Europe
1986,Chernobyl disaster & mass evacuation,Europe
1987,Perestroika protests (Eastern Europe),Europe
1988,Armenian earthquake relief mobilization,Europe
1989,Fall of Berlin Wall,Europe
1990,German reunification mass celebrations,Europe
1991,Collapse of Soviet Union demonstrations,Europe
1992,Maastricht Treaty protests,Europe
1993,Yugoslav Wars: refugee exodus,Europe
1994,UK anti-Criminal Justice Act protests,Europe
1995,Bosnian peace negotiations/activism,Europe
1996,French strikes against social reforms,Europe
1997,Diana Princess of Wales death: mass mourning,Europe
1998,Northern Ireland Good Friday Agreement campaigns,Europe
1999,Kosovo War refugee crises,Europe
2000,Anti-globalization protests Prague,Europe
2001,Genoa G8 summit protests,Europe
2002,Euro currency introduction pan-European,Europe
2003,Anti-Iraq War protests,Europe
2004,Madrid train bombing public responses,Europe
2005,London tube bombings aftermath,Europe
1985,Hands Across America (USA),North America
1986,Immigration Reform Act activism,North America
1987,AIDS awareness marches,North America
1988,Canada: Meech Lake Accord protests,North America
1989,Exxon Valdez oil spill response,North America
1990,Oka Crisis indigenous standoff (Canada),North America
1991,LA Rodney King protests,North America
1992,Mexico: NAFTA protests,North America
1993,Waco Siege public fascination,North America
1994,Zapatista Uprising Mexico,North America
1995,Oklahoma City bombing mobilization,North America
1996,"Million Man March (DC, USA)",North America
1997,Canada Quebec referendum mobilization,North America
1998,Monica Lewinsky scandal media frenzy,North America
1999,Columbine shooting response,North America
2000,Bush-Gore election protests,North America
2001,9/11 attacks: mass mobilization solidarity,North America
2002,US: Iraq war build-up protests,North America
2003,Blackout northeast US/Canada,North America
2004,Tsunami relief campaigns,North America
2005,Hurricane Katrina mass displacement relief,North America
1985,Brazil: New Republic inauguration,South America
1986,Chile: Pinochet regime rallies,South America
1987,Argentina Mothers of Plaza de Mayo protests,South America
1988,Brazilian anti-inflation marches,South America
1989,Venezuela Caracazo riots,South America
1990,Colombia: drug cartel protests,South America
1991,Peru anti-terrorism mobilizations,South America
1992,Argentina bombings public response,South America
1993,Bolivia indigenous autonomy movements,South America
1994,Ecuador agrarian unrest,South America
1995,Chile student protests,South America
1996,Venezuela: oil privatization unrest,South America
1997,Peru: Japanese embassy hostage crisis,South America
1998,Brazil: Landless Workers Movement marches,South America
1999,Argentina economic crisis mass protests,South America
2000,Bolivia: Cochabamba Water War,South America
2001,Argentina December protests (economic collapse),South America
2002,Venezuela coup protests,South America
2003,Ecuador: oil pipeline protests,South America
2004,Peru: anti-privatization marches,South America
2005,Brazil: anti-corruption protests,South America
1985,Uluru returned to Aboriginal ownership (Australia),Australia/Oceania
1986,New Zealand Homosexual Law Reform campaign,Australia/Oceania
1987,Fiji military coup,Australia/Oceania
1988,Australian bicentennial protests,Australia/Oceania
1989,PNG Bougainville uprising,Australia/Oceania
1990,Aboriginal Deaths in Custody protests,Australia/Oceania
1991,Pacific Islands cyclone mass migration,Australia/Oceania
1992,High Court Mabo decision (land rights),Australia/Oceania
1993,NZ: anti-privatization rallies,Australia/Oceania
1994,Solomon Islands ethnic unrest,Australia/Oceania
1995,New Hebrides land protests,Australia/Oceania
1996,Port Arthur massacre reaction (Australia),Australia/Oceania
1997,NZ anti-nuclear demonstrations,Australia/Oceania
1998,Aboriginal Reconciliation marches,Australia/Oceania
1999,Timor-Leste independence campaign,Australia/Oceania
2000,Sydney Olympics mass gatherings,Australia/Oceania
2001,Tampa refugee crisis Australia,Australia/Oceania
2002,Bali bombings response,Australia/Oceania
2003,Kiribati evacuation climate crisis,Australia/Oceania
2004,NZ: Foreshore and Seabed protests,Australia/Oceania
2005,Cronulla riots (Australia),Australia/Oceania
2005,Ethiopia election protests,Africa
2006,DRC elections: mass mobilization,Africa
2007,Kenya: election violence/mass movement,Africa
2008,Zimbabwe election crisis,Africa
2009,Boko Haram uprising (Nigeria),Africa
2010,Egypt: anti-Mubarak youth activism,Africa
2011,Arab Spring Egypt protests,Africa
2012,Mali coup & Tuareg movement,Africa
2013,South Sudan civil war mass flows,Africa
2014,"Ebola outbreak, West Africa",Africa
2015,Burkina Faso popular uprising,Africa
2016,Ethiopian Oromo protests,Africa
2017,Nigeria: #EndSARS protests,Africa
2018,Sudanese bread price protests,Africa
2019,Sudan Revolution,Africa
2020,COVID-19 pandemic response Africa-wide,Africa
2021,Nigeria Twitter ban reactions,Africa
2022,Kenya presidential election social media surge,Africa
2023,Somali drought migration crisis,Africa
2024,Congolese social media anti-corruption protests,Africa
2025,African Games mass participation,Africa
2005,Kashmir earthquake—mass relief mobilization,Asia
2006,Nepal pro-democracy uprisings,Asia
2007,Myanmar “Saffron Revolution” protests,Asia
2008,Beijing Olympics mass gatherings,Asia
2009,"Xinjiang unrest, China",Asia
2010,Bangkok Red Shirts protests,Asia
2011,"Fukushima disaster response, Japan",Asia
2012,India anti-corruption (Anna Hazare movement),Asia
2013,Bangladesh Shahbag protests,Asia
2014,Hong Kong Umbrella Movement,Asia
2015,Nepal earthquake mass mobilization,Asia
2016,South Korean mass protests (Park impeachment),Asia
2017,Rohingya crisis—mass exodus Myanmar,Asia
2018,"Women’s rights protests, Iran",Asia
2019,Hong Kong democracy protests,Asia
2020,Delhi riots India,Asia
2021,Myanmar coup mass resistance,Asia
2022,Shanghai lockdown/viral videos,Asia
2023,India wrestlers’ protest movement,Asia
2024,Indonesian presidential election mass rallies,Asia
2025,Tokyo Expo mass participation,Asia
2005,London bombings aftermath,Europe
2006,Denmark cartoons protests across Europe,Europe
2007,Romanian anti-corruption protests,Europe
2008,Georgian-Russian war refugee crisis,Europe
2009,Iceland financial crisis mobilizations,Europe
2010,Greece anti-austerity riots,Europe
2011,UK riots (London/Manchester),Europe
2012,Russian anti-Putin rallies,Europe
2013,Ukraine Euromaidan protests,Europe
2014,Crimea annexation and protests,Europe
2015,Paris attacks solidarity marches,Europe
2016,Brexit referendum mass activism,Europe
2017,Catalonia independence protests,Europe
2018,France Yellow Vest protests,Europe
2019,Extinction Rebellion actions,Europe
2020,COVID-19 lockdown protests,Europe
2021,Belarus democracy protests,Europe
2022,Ukrainian refugee crisis,Europe
2023,Climate protests (pan-European),Europe
2024,European Parliament election rallies,Europe
2025,Paris Olympics mass gatherings,Europe
2005,Hurricane Katrina disaster relief,North America
2006,US immigration reform rallies,North America
2007,Virginia Tech shooting response,North America
2008,Obama election mobilization,North America
2009,Tea Party movement USA,North America
2010,Haiti earthquake global response,North America
2011,Occupy Wall Street movement,North America
2012,Sandy Hook shooting response,North America
2013,Boston Marathon bombing aftermath,North America
2014,Ferguson protests (USA),North America
2015,Same-sex marriage Supreme Court decision reactions,North America
2016,Trump election protests,North America
2017,Women’s March nationwide USA,North America
2018,March for Our Lives rallies,North America
2019,US-Mexico border crisis activism,North America
2020,Black Lives Matter global movement,North America
2021,US Capitol insurrection response,North America
2022,Canadian trucker protest movement,North America
2023,Maui wildfire relief mobilizations,North America
2024,US presidential election mass mobilization,North America
2025,North American World Cup event surge,North America
2005,Brazil: “Mensalão” corruption protests,South America
2006,Chile student “Penguin Revolution”,South America
2007,Venezuela constitutional referendum rallies,South America
2008,Colombia FARC protest marches,South America
2009,Honduras coup demonstrations,South America
2010,Chile earthquake relief mobilization,South America
2011,Argentina-Indigenous land rights marches,South America
2012,Brazil World Cup preparations protests,South America
2013,Brazil mass transit fare protests,South America
2014,Venezuela anti-government student protests,South America
2015,Colombia peace agreement marches,South America
2016,Brazil impeachment demos,South America
2017,Venezuela mass migration,South America
2018,Argentina abortion debate rallies,South America
2019,Chile metro fare protests,South America
2020,COVID-19 Brazil lockdown response,South America
2021,Colombia tax reform protests,South America
2022,Amazon fires global mobilization,South America
2023,Peru political crisis marches,South America
2024,Ecuador anti-government protests,South America
2025,Brazil climate action rallies,South America
2005,Cronulla riots (Australia),Australia/Oceania
2006,Fijian coup protests,Australia/Oceania
2007,Australian apology to Indigenous peoples,Australia/Oceania
2008,Papua New Guinea anti-corruption rallies,Australia/Oceania
2009,Samoa tsunami relief mobilization,Australia/Oceania
2010,Queensland floods: mass volunteerism,Australia/Oceania
2011,Christchurch earthquake NZ,Australia/Oceania
2012,Pacific Islands climate change protests,Australia/Oceania
2013,Australia bushfire disaster response,Australia/Oceania
2014,NZ Flag Referendum mass participation,Australia/Oceania
2015,Vanuatu Cyclone Pam global response,Australia/Oceania
2016,Manus Island detention protests,Australia/Oceania
2017,Australian marriage equality campaign,Australia/Oceania
2018,Tongan evacuation after volcanic eruption,Australia/Oceania
2019,Sydney climate strikes,Australia/Oceania
2020,COVID-19 lockdown and border closures,Australia/Oceania
2021,Papua volcano eruption response,Australia/Oceania
2022,Fiji cyclone mass evacuations,Australia/Oceania
2023,Indigenous Voice to Parliament activism (Australia),Australia/Oceania
2024,Pacific Islands anti-mining protests,Australia/Oceania
2025,Brisbane Olympics preparations mass gatherings,Australia/Oceania
